name,lat,lon,population,state
Greene,33.5788,-83.1667,18461,GA
Berrien,31.276,-83.2296,18195,GA
Brantley,31.1969,-81.9819,18072,GA
Banks,34.3543,-83.4972,18061,GA
Ben Hill,31.7598,-83.2205,17237,GA
Cook,31.154,-83.4305,17188,GA
Rabun,34.8818,-83.402,16731,GA
Long,31.7526,-81.7458,16398,GA
Dade,34.8546,-85.5045,16313,GA
Brooks,30.842,-83.5802,16254,GA
Jefferson,33.0549,-82.4182,15708,GA
Oglethorpe,33.8807,-83.0807,14779,GA
Jeff Davis,31.8056,-82.6368,14753,GA
Jasper,33.3165,-83.688,14478,GA
Screven,32.7506,-81.612,14028,GA
Telfair,31.9298,-82.939,12860,GA
Bleckley,32.4345,-83.3278,12562,GA
Charlton,30.7817,-82.1379,12416,GA
Macon,32.3584,-84.0425,12330,GA
Towns,34.9167,-83.7373,12300,GA
Crawford,32.7145,-83.9863,12159,GA
Dooly,32.1572,-83.7988,11546,GA
Heard,33.297,-85.1283,11440,GA
McIntosh,31.4963,-81.4103,11291,GA
Bacon,31.5537,-82.4527,11163,GA
Candler,32.4034,-82.0737,10885,GA
Early,31.3228,-84.9036,10813,GA
Evans,32.1568,-81.8869,10761,GA
Pulaski,32.2323,-83.476,10001,GA
Lanier,31.0379,-83.0628,9874,GA
Wilkes,33.7819,-82.7432,9643,GA
Irwin,31.6022,-83.2764,9615,GA
Chattahoochee,32.347,-84.787,9533,GA
Johnson,32.7015,-82.6601,9272,GA
Seminole,30.9388,-84.8688,9108,GA
Terrell,31.777,-84.437,9102,GA
Wilkinson,32.8024,-83.1712,8931,GA
Turner,31.7164,-83.6241,8856,GA
Wilcox,31.9729,-83.4323,8841,GA
Montgomery,32.1734,-82.5348,8701,GA
Jenkins,32.7924,-81.9635,8693,GA
Hancock,33.2704,-83.0007,8652,GA
Atkinson,31.2971,-82.88,8269,GA
Twiggs,32.6672,-83.4271,8034,GA
Taylor,32.5555,-84.2505,7857,GA
Lincoln,33.7936,-82.4512,7686,GA
Wheeler,32.1171,-82.7246,7568,GA
Marion,32.3535,-84.5246,7563,GA
Clinch,30.915,-82.7063,6737,GA
Randolph,31.7627,-84.7542,6503,GA
Treutlen,32.4039,-82.5673,6410,GA
